堂ロング,1650,1
堂ハーフ,890,1
堂カット,390,1
フルーツロング,2760,1
フルーツハーフ,1406,1
プリンスロング,2000,1
プリンスハーフ,1200,1
プリンスカット,470,1
いちごロング,2400,1
いちごハーフ,1300,1
いちごカット,520,1
ほっそり,2600,0
ほっそりハーフ,1300,0
堂デコ,2530,1
